INFO 2019-11-16 14:00:55,072 -  * Restarting with stat
WARNING 2019-11-16 14:00:56,028 -  * Debugger is active!
INFO 2019-11-16 14:00:56,036 -  * Debugger PIN: 251-383-114
INFO 2019-11-16 14:00:56,045 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2019-11-16 14:00:59,172 - executing home() @app.route('/')
DEBUG 2019-11-16 14:00:59,196 - # getting current time as string in format hh:mm
DEBUG 2019-11-16 14:00:59,196 - # getting api key for news
DEBUG 2019-11-16 14:00:59,207 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-16 14:00:59,626 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3989
DEBUG 2019-11-16 14:00:59,632 - # getting top news using api key from BBC
DEBUG 2019-11-16 14:00:59,679 - # getting api key for weather
DEBUG 2019-11-16 14:00:59,684 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-16 14:00:59,788 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 435
DEBUG 2019-11-16 14:00:59,790 - # getting current weather description
DEBUG 2019-11-16 14:00:59,790 - # getting the notification list
INFO 2019-11-16 14:00:59,807 - 127.0.0.1 - - [16/Nov/2019 14:00:59] "GET / HTTP/1.1" 200 -
INFO 2019-11-16 14:01:30,142 - executing home() @app.route('/')
DEBUG 2019-11-16 14:01:30,143 - # getting current time as string in format hh:mm
DEBUG 2019-11-16 14:01:30,144 - # getting api key for news
DEBUG 2019-11-16 14:01:30,151 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-16 14:01:30,561 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3989
DEBUG 2019-11-16 14:01:30,565 - # getting top news using api key from BBC
DEBUG 2019-11-16 14:01:30,565 - # getting api key for weather
DEBUG 2019-11-16 14:01:30,570 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-16 14:01:30,646 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 435
DEBUG 2019-11-16 14:01:30,647 - # getting current weather description
DEBUG 2019-11-16 14:01:30,648 - # getting the notification list
INFO 2019-11-16 14:01:30,649 - 127.0.0.1 - - [16/Nov/2019 14:01:30] "GET / HTTP/1.1" 200 -
INFO 2019-11-16 14:01:32,712 - executing news_weather_page() @app.route('/news')
DEBUG 2019-11-16 14:01:32,712 - # getting api key for weather
DEBUG 2019-11-16 14:01:32,712 - # getting api key for news
DEBUG 2019-11-16 14:01:32,716 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-16 14:01:32,796 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 435
DEBUG 2019-11-16 14:01:32,797 - # assigning weather()func returns to weather_tuple_obj
DEBUG 2019-11-16 14:01:32,797 - # getting temperature from weather_tuple_obj
DEBUG 2019-11-16 14:01:32,797 - # getting wind speed from weather_tuple_obj
DEBUG 2019-11-16 14:01:32,797 - # getting description of weather from weather_tuple_obj
DEBUG 2019-11-16 14:01:32,805 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-16 14:01:33,214 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3989
DEBUG 2019-11-16 14:01:33,216 - # assigning news() func returns to news_tuple_obj
DEBUG 2019-11-16 14:01:33,220 - # getting news titles from news()
DEBUG 2019-11-16 14:01:33,220 - # getting news content from news()
DEBUG 2019-11-16 14:01:33,220 - # getting news url from news()
INFO 2019-11-16 14:01:33,232 - 127.0.0.1 - - [16/Nov/2019 14:01:33] "GET /news HTTP/1.1" 200 -
INFO 2019-11-16 14:01:35,932 - executing alarmlist_page() @app.route('/alarmlist')
DEBUG 2019-11-16 14:01:35,933 - # getting notifications for /alarmlist
INFO 2019-11-16 14:01:35,937 - 127.0.0.1 - - [16/Nov/2019 14:01:35] "GET /alarmlist HTTP/1.1" 200 -
INFO 2019-11-16 14:01:37,302 - executing set_alarm_page() @app.route('/setalarm')
DEBUG 2019-11-16 14:01:37,302 - # getting the alarm information from user
DEBUG 2019-11-16 14:01:37,302 - # getting notifications /setalarm
DEBUG 2019-11-16 14:01:37,302 - # setting alarm using sched module
INFO 2019-11-16 14:01:37,306 - 127.0.0.1 - - [16/Nov/2019 14:01:37] "GET /setalarm HTTP/1.1" 200 -
INFO 2019-11-16 14:01:39,409 - executing news_weather_page() @app.route('/news')
DEBUG 2019-11-16 14:01:39,409 - # getting api key for weather
DEBUG 2019-11-16 14:01:39,410 - # getting api key for news
DEBUG 2019-11-16 14:01:39,413 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-16 14:01:39,498 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 435
DEBUG 2019-11-16 14:01:39,499 - # assigning weather()func returns to weather_tuple_obj
DEBUG 2019-11-16 14:01:39,499 - # getting temperature from weather_tuple_obj
DEBUG 2019-11-16 14:01:39,499 - # getting wind speed from weather_tuple_obj
DEBUG 2019-11-16 14:01:39,499 - # getting description of weather from weather_tuple_obj
DEBUG 2019-11-16 14:01:39,506 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-16 14:01:39,935 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3989
DEBUG 2019-11-16 14:01:39,940 - # assigning news() func returns to news_tuple_obj
DEBUG 2019-11-16 14:01:39,941 - # getting news titles from news()
DEBUG 2019-11-16 14:01:39,941 - # getting news content from news()
DEBUG 2019-11-16 14:01:39,941 - # getting news url from news()
INFO 2019-11-16 14:01:39,942 - 127.0.0.1 - - [16/Nov/2019 14:01:39] "GET /news HTTP/1.1" 200 -
INFO 2019-11-17 22:22:26,834 -  * Restarting with stat
WARNING 2019-11-17 22:22:27,418 -  * Debugger is active!
INFO 2019-11-17 22:22:27,435 -  * Debugger PIN: 251-383-114
INFO 2019-11-17 22:22:27,435 -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO 2019-11-17 22:22:39,750 - executing home() @app.route('/')
DEBUG 2019-11-17 22:22:39,750 - # getting current time as string in format hh:mm
DEBUG 2019-11-17 22:22:39,750 - # getting api key for news
DEBUG 2019-11-17 22:22:39,756 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-17 22:22:40,150 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3946
DEBUG 2019-11-17 22:22:40,165 - # getting top news using api key from BBC
DEBUG 2019-11-17 22:22:40,165 - # getting api key for weather
DEBUG 2019-11-17 22:22:40,165 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-17 22:22:40,259 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 526
DEBUG 2019-11-17 22:22:40,260 - # getting current weather description
DEBUG 2019-11-17 22:22:40,260 - # getting the notification list
INFO 2019-11-17 22:22:40,276 - 127.0.0.1 - - [17/Nov/2019 22:22:40] "GET / HTTP/1.1" 200 -
INFO 2019-11-17 22:22:40,703 - 127.0.0.1 - - [17/Nov/2019 22:22:40] "GET /favicon.ico HTTP/1.1" 404 -
INFO 2019-11-17 22:22:48,480 - executing news_weather_page() @app.route('/news')
DEBUG 2019-11-17 22:22:48,480 - # getting api key for weather
DEBUG 2019-11-17 22:22:48,480 - # getting api key for news
DEBUG 2019-11-17 22:22:48,482 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-17 22:22:48,557 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 526
DEBUG 2019-11-17 22:22:48,558 - # assigning weather()func returns to weather_tuple_obj
DEBUG 2019-11-17 22:22:48,558 - # getting temperature from weather_tuple_obj
DEBUG 2019-11-17 22:22:48,558 - # getting wind speed from weather_tuple_obj
DEBUG 2019-11-17 22:22:48,558 - # getting description of weather from weather_tuple_obj
DEBUG 2019-11-17 22:22:48,560 - Starting new HTTPS connection (1): newsapi.org:443
DEBUG 2019-11-17 22:22:48,950 - https://newsapi.org:443 "GET /v1/articles?source=bbc-news&sortBy=top&apiKey=948bc6a9f980472dba5fa0f0f085aabe HTTP/1.1" 200 3946
DEBUG 2019-11-17 22:22:48,953 - # assigning news() func returns to news_tuple_obj
DEBUG 2019-11-17 22:22:48,953 - # getting news titles from news()
DEBUG 2019-11-17 22:22:48,953 - # getting news content from news()
DEBUG 2019-11-17 22:22:48,953 - # getting news url from news()
INFO 2019-11-17 22:22:48,961 - 127.0.0.1 - - [17/Nov/2019 22:22:48] "GET /news HTTP/1.1" 200 -
INFO 2019-11-17 22:22:49,975 - executing set_alarm_page() @app.route('/setalarm')
DEBUG 2019-11-17 22:22:49,976 - # getting the alarm information from user
DEBUG 2019-11-17 22:22:49,976 - # getting notifications /setalarm
DEBUG 2019-11-17 22:22:49,976 - # setting alarm using sched module
INFO 2019-11-17 22:22:49,991 - 127.0.0.1 - - [17/Nov/2019 22:22:49] "GET /setalarm HTTP/1.1" 200 -
INFO 2019-11-17 22:22:51,889 - executing alarmlist_page() @app.route('/alarmlist')
DEBUG 2019-11-17 22:22:51,889 - # getting notifications for /alarmlist
INFO 2019-11-17 22:22:51,905 - 127.0.0.1 - - [17/Nov/2019 22:22:51] "GET /alarmlist HTTP/1.1" 200 -
INFO 2019-11-17 22:22:56,477 - executing cancelalarm_page() @app.route('/cancelalarm')
DEBUG 2019-11-17 22:22:56,477 - # cancelling alarm in queue
INFO 2019-11-17 22:22:56,482 - 127.0.0.1 - - [17/Nov/2019 22:22:56] "GET /cancelalarm HTTP/1.1" 200 -
INFO 2019-11-17 22:22:57,777 - executing alarmlist_page() @app.route('/alarmlist')
DEBUG 2019-11-17 22:22:57,777 - # getting notifications for /alarmlist
INFO 2019-11-17 22:22:57,778 - 127.0.0.1 - - [17/Nov/2019 22:22:57] "GET /alarmlist HTTP/1.1" 200 -
INFO 2019-11-17 22:22:59,079 - executing alarmlist_page() @app.route('/alarmlist')
DEBUG 2019-11-17 22:22:59,079 - # getting notifications for /alarmlist
INFO 2019-11-17 22:22:59,079 - 127.0.0.1 - - [17/Nov/2019 22:22:59] "GET /alarmlist HTTP/1.1" 200 -
INFO 2019-11-17 22:22:59,769 - executing set_alarm_page() @app.route('/setalarm')
DEBUG 2019-11-17 22:22:59,769 - # getting the alarm information from user
DEBUG 2019-11-17 22:22:59,769 - # getting notifications /setalarm
DEBUG 2019-11-17 22:22:59,769 - # setting alarm using sched module
INFO 2019-11-17 22:22:59,770 - 127.0.0.1 - - [17/Nov/2019 22:22:59] "GET /setalarm HTTP/1.1" 200 -
INFO 2019-11-17 22:23:00,245 - executing news_weather_page() @app.route('/news')
DEBUG 2019-11-17 22:23:00,245 - # getting api key for weather
DEBUG 2019-11-17 22:23:00,245 - # getting api key for news
DEBUG 2019-11-17 22:23:00,247 - Starting new HTTP connection (1): api.openweathermap.org:80
DEBUG 2019-11-17 22:23:00,323 - http://api.openweathermap.org:80 "GET /data/2.5/weather?q=Exeter,uk,&units=metric&appid=1237fe91f619b76d582d0f5583ff2a8d HTTP/1.1" 200 526
DEBUG 2019-11-17 22:23:00,325 - # assigning weather()func returns to weather_tuple_obj
DEBUG 2019-11-17 22:23:00,325 - # getting temperature from weather_tuple_obj
